feature,importance
online_order,0.28643774744885775
is_night,0.13265398971244358
repeat_retailer,0.10861574172402265
unusual_time_flag,0.09097660016835335
online_amount_interaction,0.05160728398032929
used_pin_number,0.04445744825481156
is_weekend,0.041689748723133566
merchant_category_encoded,0.03543374710154784
is_far_from_home,0.03514446770136769
ratio_to_median_purchase_price,0.024242520251159846
used_chip,0.022018232487244403
high_amount_flag,0.018587201834452484
amount_distance_interaction,0.017129381688554567
hour,0.016335409157836836
day_of_week,0.015558087315224485
distance_from_home,0.013496555148485693
amount_squared,0.011077103692465234
amount_log,0.011018598134298408
amount,0.010695632109304657
distance_from_last_transaction,0.009651216058957808
distance_ratio,0.003173230041240466
